concept,kind,statement,required,sign_convention,restatement_eligible,combine
revenue,duration,income_statement,True,any,True,best
cogs,duration,income_statement,True,always_positive,True,sum
gross_profit,duration,income_statement,False,any,True,best
operating_income,duration,income_statement,True,any,True,best
net_income,duration,income_statement,True,any,True,best
sga,duration,income_statement,False,always_positive,True,best
depreciation_amortisation,duration,cash_flow,False,always_positive,True,best
interest_expense,duration,income_statement,False,always_positive,True,best
interest_income_expense_net,duration,income_statement,False,any,True,best
income_tax_expense,duration,income_statement,False,any,True,best
cfo,duration,cash_flow,True,any,True,best
capex,duration,cash_flow,False,any,True,best
receivables,instant,balance_sheet,False,any,True,best
inventory,instant,balance_sheet,False,any,True,best
current_assets,instant,balance_sheet,False,any,True,best
total_assets,instant,balance_sheet,True,any,True,best
ppe_net,instant,balance_sheet,False,any,True,best
current_liabilities,instant,balance_sheet,False,any,True,best
total_liabilities,instant,balance_sheet,False,any,True,best
long_term_debt,instant,balance_sheet,False,any,True,best
retained_earnings,instant,balance_sheet,False,any,True,best
equity,instant,balance_sheet,False,any,True,best
shares_diluted,duration,income_statement,False,any,False,best
